match_id,date,venue,team1,team2,toss_winner,toss_decision,winner,win_by_runs,win_by_wickets,year,day_of_week,target,venue_team1_win_pct,h2h_win_pct,team1_form,team2_form,toss_impact,match_number,season_stage,team1_top_batsman_avg,team2_top_bowler_sr,is_playoff,rivalry_score,venue_toss_impact,team1_toss_preference,days_since_last,month,team1_strength,team2_strength,pressure_index,team1_top3_batting_avg,team2_top3_batting_avg,team1_top3_bowling_sr,team2_top3_bowling_sr,team1_powerplay_avg,team2_powerplay_avg,team1_powerplay_wickets,team2_powerplay_wickets,powerplay_dominance,win_correlation
335992,2008-04-26,Bengaluru,Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,0,7,2008,Saturday,0,0.4545454545454550,0.375,0.0,0.6666666666666670,1,12,early,34.18918918918920,109.67213114754100,0,0.1,0.4761904761904760,0.2635135135135140,8.0,4,0.2488636363636360,0.590530303030303,0.03,0.0,14.333333333333300,0.0,2.7777777777777800,0.0,7.5,0.0,1.0,-7.5,1
335994,2008-04-27,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,10,2008,Sunday,0,0.6049382716049380,0.5,0.0,0.5,1,13,early,36.69354838709680,108.88888888888900,0,0.1,0.5384615384615380,0.3387096774193550,7.0,4,0.3314814814814820,0.5314814814814810,0.03,7.666666666666670,29.0,12.88156288156290,0.0,4.5,10.0,3.0,0.0,-5.5,1
335995,2008-04-27,Chandigarh,Punjab Kings,Delhi Capitals,Delhi Capitals,bat,Punjab Kings,0,4,2008,Sunday,1,0.4909090909090910,0.5625,0.6666666666666670,0.5,0,14,early,33.44,109.14728682170500,0,0.1,0.4074074074074070,0.248,2.0,4,0.582689393939394,0.4785227272727270,0.03,0.0,17.333333333333300,0.0,0.0,0.0,9.166666666666670,0.0,0.0,-9.166666666666670,0
335996,2008-04-28,Bengaluru,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,13,0,2008,Monday,0,0.4545454545454550,0.4761904761904760,0.0,1.0,1,15,early,34.18918918918920,111.30434782608700,0,0.1,0.4761904761904760,0.2635135135135140,2.0,4,0.2792207792207790,0.6935064935064940,0.03,0.0,14.333333333333300,0.0,2.7777777777777800,0.0,7.5,0.0,1.0,-7.5,1
335997,2008-04-29,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,0,7,2008,Tuesday,0,0.5802469135802470,0.3684210526315790,0.5,0.3333333333333330,0,16,early,35.725806451612900,110.70422535211300,0,0.1,0.6585365853658540,0.314516129032258,9.0,4,0.4846003898635480,0.4968810916179340,0.03,12.666666666666700,10.333333333333300,11.111111111111100,9.629629629629630,6.666666666666670,6.333333333333330,3.0,3.0,0.3333333333333340,0
335998,2008-04-30,Delhi,Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,10,0,2008,Wednesday,1,0.4625,0.2857142857142860,1.0,0.5,0,17,early,34.173228346456700,109.82142857142900,0,0.1,0.4390243902439020,0.3858267716535430,11.0,4,0.6244642857142860,0.5530357142857140,0.03,0.0,15.0,0.0,3.7037037037037000,0.0,9.166666666666670,0.0,2.0,-9.166666666666670,0
336000,2008-05-01,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,bat,Rajasthan Royals,45,0,2008,Thursday,1,0.6078431372549020,0.5384615384615380,1.0,0.3333333333333330,1,18,early,36.44230769230770,110.15151515151500,0,0.1,0.5625,0.3653846153846150,10.0,5,0.7438914027149320,0.4541478129713420,0.03,13.333333333333300,14.666666666666700,0.0,4.0476190476190500,7.5,8.5,0.0,2.0,-1.0,0
335999,2008-05-01,Hyderabad,Deccan Chargers,Punjab Kings,Punjab Kings,field,Punjab Kings,0,7,2008,Thursday,0,0.1666666666666670,0.1666666666666670,0.0,0.5,1,19,early,30.0,109.6,0,0.1,0.0,0.4358974358974360,7.0,5,0.0999999999999999,0.5,0.03,16.0,20.5,2.5641025641025600,0.0,8.333333333333330,6.833333333333330,1.0,0.0,1.5000000000000000,0
336001,2008-05-02,Chennai,Chennai Super Kings,Delhi Capitals,Chennai Super Kings,bat,Delhi Capitals,0,8,2008,Friday,0,0.6774193548387100,0.6470588235294120,0.6666666666666670,0.6666666666666670,0,20,middle,37.578125,109.14728682170500,0,0.1,0.5853658536585370,0.5234375,6.0,5,0.6640101201771030,0.5757748260594560,0.03,14.666666666666700,31.0,2.380952380952380,0.0,7.833333333333330,10.666666666666700,1.0,0.0,-2.833333333333330,1
336003,2008-05-03,Chandigarh,Punjab Kings,Kolkata Knight Riders,Punjab Kings,bat,Punjab Kings,9,0,2008,Saturday,1,0.4909090909090910,0.3125,0.75,0.25,1,21,middle,33.44,110.15151515151500,0,0.1,0.4074074074074070,0.248,6.0,5,0.5410227272727270,0.4535227272727270,0.03,0.0,7.666666666666670,0.0,5.263157894736840,0.0,5.166666666666670,0.0,2.0,-5.166666666666670,0
336034,2008-05-03,Bengaluru,Royal Challengers Bengaluru,Deccan Chargers,Deccan Chargers,field,Royal Challengers Bengaluru,3,0,2008,Saturday,1,0.4545454545454550,0.5714285714285710,0.25,0.3333333333333330,0,22,middle,34.18918918918920,108.88888888888900,0,0.1,0.4761904761904760,0.2635135135135140,5.0,5,0.4077922077922080,0.3982683982683980,0.03,0.0,10.0,0.0,8.333333333333330,0.0,5.5,0.0,2.0,-5.5,0
336005,2008-05-04,Jaipur,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Rajasthan Royals,0,8,2008,Sunday,1,0.6078431372549020,0.6153846153846150,1.0,0.6666666666666670,0,23,middle,36.44230769230770,111.30434782608700,0,0.1,0.5625,0.3653846153846150,3.0,5,0.7669683257918550,0.5644042232277530,0.03,21.0,10.666666666666700,0.0,10.897435897435900,7.333333333333330,6.333333333333330,0.0,4.0,1.0,1
336004,2008-05-04,Mumbai,Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,29,0,2008,Sunday,1,0.6049382716049380,0.6875,0.3333333333333330,0.5,0,24,middle,36.69354838709680,109.14728682170500,0,0.1,0.5384615384615380,0.3387096774193550,7.0,5,0.5210648148148150,0.4752314814814820,0.03,24.0,12.0,0.0,4.629629629629630,8.333333333333330,6.166666666666670,0.0,2.0,2.166666666666670,1
336006,2008-05-05,Bengaluru,Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Punjab Kings,0,6,2008,Monday,0,0.4545454545454550,0.5294117647058820,0.2,0.6666666666666670,1,25,middle,34.18918918918920,109.6,0,0.1,0.4761904761904760,0.2635135135135140,2.0,5,0.375187165775401,0.5442067736185380,0.03,0.0,14.333333333333300,0.0,2.2222222222222200,0.0,8.666666666666670,0.0,1.0,-8.666666666666670,1
336007,2008-05-06,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,Deccan Chargers,0,7,2008,Tuesday,0,0.6774193548387100,0.5714285714285710,0.5,0.5,1,26,middle,37.578125,108.88888888888900,0,0.1,0.5853658536585370,0.5234375,4.0,5,0.5746543778801840,0.5317972350230420,0.03,8.333333333333330,16.333333333333300,8.994708994708990,2.7777777777777800,5.666666666666670,8.333333333333330,3.0,1.0,-2.666666666666670,1
